Time (ms) - Plot 0;Corriente (A) - Plot 0
302;NaN
303;0,0534545
304;0,0534545
305;0,0534545
306;0,0534545
307;0,0534545
308;0,0534545
309;0,0534545
310;0,0534545
311;0,052818
312;0,0465655
313;0,0406206
314;0,0355965
315;0,0317358
316;0,0290734
317;0,0273899
318;0,026605
319;0,0259493
320;0,0256776
321;0,0257192
322;0,0270423
323;0,0305552
324;0,0366495
325;0,0440833
326;0,0524291
327;0,0534545
328;0,0534545
329;0,0534545
330;0,0534545
331;0,0534545
332;0,0534545
333;0,0495122
334;0,0391945
335;0,0341236
336;0,0303568
337;0,0277884
338;0,0262278
339;0,0251409
340;0,0241128
341;0,0233006
342;0,0222021
343;0,0206236
344;0,0187316
345;0,0175103
346;0,0170847
347;0,0170078
348;0,0175588
349;0,0188949
350;0,0215322
351;0,0269694
352;0,0313266
353;0,0350767
354;0,0397657
355;0,0468402
356;0,0534545
357;0,0534545
358;0,0534545
359;0,0534545
360;0,0534545
361;0,0522258
362;0,0363991
363;0,0300215
364;0,0265197
365;0,0242404
366;0,0217485
367;0,0197672
368;0,018632
369;0,0183256
370;0,0192272
371;0,0248877
372;0,0323512
373;0,0361815
374;0,0413333
375;0,0451167
376;0,0455656
377;0,0455936
378;0,045596
379;0,0456036
380;0,0456153
381;0,0456164
382;0,046817
383;0,0531027
384;0,0534545
385;0,0534545
386;0,0534545
387;0,0530463
388;0,0370988
389;0,0291688
390;0,024552
391;0,0218537
392;0,0204463
393;0,0195164
394;0,0181437
395;0,017811
396;0,0184403
397;0,0219502
398;0,0269524
399;0,0310095
400;0,0341211
401;0,0391965
